#	lambda         S/N    tar_flux   tot_noise    sc_noise   sys_noise   readnoise  dark_noise   sky_noise     mockgal
#	nm   1e-13erg/s/cm2/nm    #e          #e          #e          #e          #e          #e      1e-13erg/s/cm2/nm
     504.840   5.328E-02   5.973E-04    11.29366     0.77573    11.26699     9.79796     5.53173     0.58738     0.01399
     505.016   5.337E-02   5.980E-04    11.29370     0.77634    11.26699     9.79796     5.53173     0.58734     0.01071
     505.191   5.348E-02   5.990E-04    11.29375     0.77714    11.26698     9.79796     5.53173     0.58730     0.00746
     505.367   5.349E-02   5.990E-04    11.29376     0.77726    11.26698     9.79796     5.53173     0.58727     0.00992
     505.542   5.345E-02   5.984E-04    11.29374     0.77697    11.26698     9.79796     5.53173     0.58723     0.01695
     505.718   5.330E-02   5.964E-04    11.29366     0.77583    11.26698     9.79796     5.53173     0.58718    -0.00049
     505.893   5.283E-02   5.909E-04    11.29342     0.77240    11.26697     9.79796     5.53173     0.58711     0.00106
     506.069   5.202E-02   5.817E-04    11.29301     0.76647    11.26697     9.79796     5.53173     0.58707     0.00954
     506.244   5.129E-02   5.733E-04    11.29264     0.76105    11.26697     9.79796     5.53173     0.58703    -0.00612
     506.420   5.115E-02   5.715E-04    11.29257     0.75999    11.26697     9.79796     5.53173     0.58700     0.00658
     506.596   5.164E-02   5.768E-04    11.29282     0.76365    11.26697     9.79796     5.53173     0.58696    -0.00531
     506.771   5.251E-02   5.863E-04    11.29325     0.77004    11.26696     9.79796     5.53173     0.58692     0.00983
     506.947   5.336E-02   5.957E-04    11.29367     0.77632    11.26696     9.79796     5.53173     0.58684     0.01451
     507.122   5.405E-02   6.032E-04    11.29402     0.78132    11.26696     9.79796     5.53173     0.58680    -0.00273
     507.298   5.461E-02   6.093E-04    11.29430     0.78538    11.26696     9.79796     5.53173     0.58677     0.00216
     507.473   5.509E-02   6.144E-04    11.29453     0.78879    11.26695     9.79796     5.53173     0.58673    -0.01277
     507.649   5.542E-02   6.179E-04    11.29470     0.79119    11.26695     9.79796     5.53173     0.58670     0.00474
     507.824   5.532E-02   6.165E-04    11.29464     0.79043    11.26695     9.79796     5.53173     0.58665     0.00249
     508.000   5.468E-02   6.092E-04    11.29432     0.78589    11.26695     9.79796     5.53173     0.58658    -0.00908
     508.176   5.363E-02   5.972E-04    11.29379     0.77825    11.26694     9.79796     5.53173     0.58653     0.00119
     508.351   5.274E-02   5.871E-04    11.29334     0.77177    11.26694     9.79796     5.53173     0.58650    -0.01029
     508.527   5.259E-02   5.852E-04    11.29327     0.77067    11.26694     9.79796     5.53173     0.58646    -0.00280
     508.702   5.303E-02   5.899E-04    11.29348     0.77386    11.26694     9.79796     5.53173     0.58643     0.01827
     508.878   5.354E-02   5.955E-04    11.29374     0.77763    11.26694     9.79796     5.53173     0.58638     0.00290
     509.053   5.368E-02   5.968E-04    11.29381     0.77863    11.26693     9.79796     5.53173     0.58631    -0.00902
     509.229   5.336E-02   5.930E-04    11.29364     0.77630    11.26693     9.79796     5.53173     0.58627     0.01371
     509.404   5.291E-02   5.877E-04    11.29341     0.77298    11.26693     9.79796     5.53173     0.58623    -0.00728
     509.580   5.269E-02   5.851E-04    11.29330     0.77141    11.26693     9.79796     5.53173     0.58620     0.00936
     509.755   5.291E-02   5.874E-04    11.29341     0.77301    11.26692     9.79796     5.53173     0.58616     0.00188
     509.931   5.352E-02   5.940E-04    11.29371     0.77746    11.26692     9.79796     5.53173     0.58612    -0.00640
     510.107   5.430E-02   6.024E-04    11.29410     0.78309    11.26692     9.79796     5.53173     0.58609     0.00061
     510.282   5.501E-02   6.101E-04    11.29446     0.78825    11.26692     9.79796     5.53173     0.58605    -0.00882
     510.458   5.552E-02   6.155E-04    11.29471     0.79186    11.26692     9.79796     5.53173     0.58601    -0.00383
     510.633   5.566E-02   6.169E-04    11.29478     0.79287    11.26691     9.79796     5.53173     0.58594     0.01194
     510.809   5.523E-02   6.120E-04    11.29457     0.78984    11.26692     9.79796     5.53173     0.58603     0.01002
     510.984   5.434E-02   6.018E-04    11.29412     0.78340    11.26692     9.79796     5.53173     0.58603     0.00974
     511.160   5.321E-02   5.891E-04    11.29350     0.77521    11.26686     9.79796     5.53173     0.58495     0.00118
     511.336   5.226E-02   5.784E-04    11.29304     0.76825    11.26688     9.79796     5.53173     0.58534    -0.00858
     511.511   5.181E-02   5.732E-04    11.29289     0.76493    11.26695     9.79796     5.53173     0.58665    -0.01071
     511.687   5.175E-02   5.723E-04    11.29289     0.76447    11.26699     9.79796     5.53173     0.58735     0.01303
     511.862   5.200E-02   5.749E-04    11.29302     0.76631    11.26699     9.79796     5.53173     0.58747    -0.00884
     512.038   5.242E-02   5.794E-04    11.29320     0.76943    11.26696     9.79796     5.53173     0.58683     0.01210
     512.213   5.296E-02   5.851E-04    11.29327     0.77338    11.26676     9.79796     5.53173     0.58304     0.00295
     512.389   5.346E-02   5.904E-04    11.29330     0.77701    11.26654     9.79796     5.53173     0.57874    -0.00002
     512.564   5.369E-02   5.928E-04    11.29320     0.77867    11.26632     9.79796     5.53173     0.57444    -0.00263
     512.740   5.352E-02   5.907E-04    11.29312     0.77747    11.26632     9.79796     5.53173     0.57451     0.00826
     512.916   5.304E-02   5.852E-04    11.29300     0.77396    11.26645     9.79796     5.53173     0.57696    -0.00703
     513.091   5.253E-02   5.794E-04    11.29297     0.77022    11.26667     9.79796     5.53173     0.58126     0.01579
     513.267   5.221E-02   5.757E-04    11.29294     0.76789    11.26680     9.79796     5.53173     0.58376     0.01864
     513.442   5.211E-02   5.743E-04    11.29291     0.76710    11.26683     9.79796     5.53173     0.58426    -0.00054
     513.618   5.207E-02   5.737E-04    11.29283     0.76685    11.26676     9.79796     5.53173     0.58296    -0.00162
     513.793   5.202E-02   5.729E-04    11.29266     0.76642    11.26662     9.79796     5.53173     0.58023     0.02180
     513.969   5.193E-02   5.717E-04    11.29256     0.76578    11.26657     9.79796     5.53173     0.57921     0.00345
     514.144   5.188E-02   5.710E-04    11.29257     0.76541    11.26660     9.79796     5.53173     0.57988     0.01180
     514.320   5.186E-02   5.706E-04    11.29258     0.76528    11.26662     9.79796     5.53173     0.58026     0.01290
     514.495   5.186E-02   5.704E-04    11.29261     0.76528    11.26665     9.79796     5.53173     0.58083     0.00742
     514.671   5.198E-02   5.715E-04    11.29271     0.76613    11.26669     9.79796     5.53173     0.58160    -0.00581
     514.847   5.243E-02   5.763E-04    11.29286     0.76948    11.26661     9.79796     5.53173     0.58018     0.00514
     515.022   5.321E-02   5.847E-04    11.29319     0.77522    11.26655     9.79796     5.53173     0.57899    -0.01246
     515.198   5.405E-02   5.937E-04    11.29357     0.78127    11.26651     9.79796     5.53173     0.57821    -0.00345
     515.373   5.452E-02   5.987E-04    11.29371     0.78472    11.26641     9.79796     5.53173     0.57620    -0.01655
     515.549   5.437E-02   5.968E-04    11.29355     0.78362    11.26633     9.79796     5.53173     0.57460     0.00107
     515.724   5.343E-02   5.862E-04    11.29303     0.77677    11.26628     9.79796     5.53173     0.57364     0.01236
     515.900   5.175E-02   5.676E-04    11.29221     0.76448    11.26630     9.79796     5.53173     0.57409    -0.00913
     516.076   4.944E-02   5.420E-04    11.29101     0.74716    11.26626     9.79796     5.53173     0.57334     0.00847
     516.251   4.709E-02   5.161E-04    11.28971     0.72916    11.26614     9.79796     5.53173     0.57079     0.00478
     516.427   4.552E-02   4.985E-04    11.28880     0.71681    11.26602     9.79796     5.53173     0.56855    -0.00122
     516.602   4.481E-02   4.906E-04    11.28835     0.71123    11.26592     9.79796     5.53173     0.56659    -0.00209
     516.778   4.486E-02   4.911E-04    11.28830     0.71165    11.26584     9.79796     5.53173     0.56499    -0.01821
     516.953   4.555E-02   4.984E-04    11.28886     0.71705    11.26606     9.79796     5.53173     0.56935     0.00193
     517.129   4.711E-02   5.154E-04    11.28985     0.72931    11.26626     9.79796     5.53173     0.57335     0.01662
     517.304   4.924E-02   5.385E-04    11.29102     0.74561    11.26637     9.79796     5.53173     0.57549     0.00868
     517.480   5.097E-02   5.573E-04    11.29205     0.75865    11.26653     9.79796     5.53173     0.57860     0.00382
     517.656   5.142E-02   5.620E-04    11.29231     0.76198    11.26657     9.79796     5.53173     0.57936     0.00002
     517.831   5.049E-02   5.516E-04    11.29161     0.75503    11.26633     9.79796     5.53173     0.57471     0.01161
     518.007   4.860E-02   5.308E-04    11.29071     0.74079    11.26638     9.79796     5.53173     0.57561     0.00472
     518.182   4.706E-02   5.138E-04    11.29001     0.72892    11.26646     9.79796     5.53173     0.57712     0.01737
     518.358   4.718E-02   5.149E-04    11.29009     0.72985    11.26648     9.79796     5.53173     0.57749    -0.01181
     518.533   4.864E-02   5.307E-04    11.29108     0.74106    11.26673     9.79796     5.53173     0.58241     0.01285
     518.709   5.040E-02   5.498E-04    11.29215     0.75439    11.26692     9.79796     5.53173     0.58608     0.01334
     518.884   5.141E-02   5.606E-04    11.29254     0.76191    11.26681     9.79796     5.53173     0.58397     0.00958
     519.060   5.143E-02   5.607E-04    11.29270     0.76212    11.26695     9.79796     5.53173     0.58664    -0.00271
     519.235   5.103E-02   5.561E-04    11.29317     0.75911    11.26763     9.79796     5.53173     0.59948     0.01110
     519.411   5.083E-02   5.539E-04    11.29510     0.75774    11.26966     9.79796     5.53173     0.63650    -0.00320
     519.587   5.118E-02   5.576E-04    11.29754     0.76037    11.27192     9.79796     5.53173     0.67539    -0.00329
     519.762   5.188E-02   5.652E-04    11.29983     0.76567    11.27386     9.79796     5.53173     0.70699    -0.00109
     519.938   5.268E-02   5.737E-04    11.30092     0.77155    11.27456     9.79796     5.53173     0.71804    -0.00185
     520.113   5.320E-02   5.792E-04    11.29999     0.77534    11.27336     9.79796     5.53173     0.69896     0.00630
     520.289   5.305E-02   5.772E-04    11.29799     0.77417    11.27143     9.79796     5.53173     0.66724     0.00498
     520.464   5.221E-02   5.678E-04    11.29522     0.76796    11.26908     9.79796     5.53173     0.62630     0.00012
     520.640   5.094E-02   5.537E-04    11.29331     0.75846    11.26781     9.79796     5.53173     0.60303     0.00390
     520.815   4.979E-02   5.410E-04    11.29197     0.74985    11.26704     9.79796     5.53173     0.58839     0.01487
     520.991   4.930E-02   5.354E-04    11.29140     0.74614    11.26672     9.79796     5.53173     0.58223    -0.00812
     521.167   4.976E-02   5.402E-04    11.29151     0.74956    11.26660     9.79796     5.53173     0.57989    -0.00253
     521.342   5.084E-02   5.518E-04    11.29202     0.75771    11.26657     9.79796     5.53173     0.57932     0.01151
     521.518   5.204E-02   5.647E-04    11.29266     0.76663    11.26661     9.79796     5.53173     0.57999    -0.01635
     521.693   5.281E-02   5.729E-04    11.29314     0.77230    11.26670     9.79796     5.53173     0.58182     0.02067
     521.869   5.302E-02   5.749E-04    11.29338     0.77377    11.26684     9.79796     5.53173     0.58457     0.00059
     522.044   5.312E-02   5.758E-04    11.29366     0.77456    11.26706     9.79796     5.53173     0.58884     0.00023
     522.220   5.351E-02   5.799E-04    11.29378     0.77740    11.26699     9.79796     5.53173     0.58743    -0.01434
     522.396   5.402E-02   5.852E-04    11.29379     0.78108    11.26674     9.79796     5.53173     0.58267     0.00821
     522.571   5.410E-02   5.859E-04    11.29360     0.78169    11.26651     9.79796     5.53173     0.57814    -0.00209
     522.747   5.329E-02   5.769E-04    11.29299     0.77575    11.26631     9.79796     5.53173     0.57428     0.01084
     522.922   5.186E-02   5.612E-04    11.29214     0.76526    11.26618     9.79796     5.53173     0.57161     0.01023
     523.098   5.058E-02   5.471E-04    11.29162     0.75571    11.26631     9.79796     5.53173     0.57416     0.01816
     523.273   5.018E-02   5.426E-04    11.29155     0.75273    11.26643     9.79796     5.53173     0.57655     0.01190
     523.449   5.087E-02   5.499E-04    11.29201     0.75789    11.26654     9.79796     5.53173     0.57879     0.00173
     523.624   5.189E-02   5.607E-04    11.29261     0.76545    11.26664     9.79796     5.53173     0.58059     0.02762
     523.800   5.251E-02   5.673E-04    11.29298     0.77010    11.26670     9.79796     5.53173     0.58175     0.01048
     523.975   5.274E-02   5.696E-04    11.29312     0.77175    11.26672     9.79796     5.53173     0.58225    -0.00254
     524.151   5.307E-02   5.730E-04    11.29324     0.77419    11.26667     9.79796     5.53173     0.58120    -0.00010
     524.327   5.381E-02   5.808E-04    11.29352     0.77956    11.26658     9.79796     5.53173     0.57959     0.00131
     524.502   5.465E-02   5.896E-04    11.29384     0.78562    11.26648     9.79796     5.53173     0.57754     0.00832
     524.678   5.523E-02   5.957E-04    11.29403     0.78978    11.26639     9.79796     5.53173     0.57572     0.00481
     524.853   5.549E-02   5.983E-04    11.29420     0.79166    11.26642     9.79796     5.53173     0.57642    -0.00204
     525.029   5.551E-02   5.984E-04    11.29436     0.79183    11.26657     9.79796     5.53173     0.57934    -0.00008
     525.204   5.530E-02   5.959E-04    11.29433     0.79029    11.26665     9.79796     5.53173     0.58085     0.00457
     525.380   5.478E-02   5.901E-04    11.29416     0.78656    11.26673     9.79796     5.53173     0.58249     0.00700
     525.555   5.398E-02   5.813E-04    11.29385     0.78082    11.26683     9.79796     5.53173     0.58425    -0.01017
     525.731   5.324E-02   5.730E-04    11.29324     0.77539    11.26659     9.79796     5.53173     0.57962    -0.02214
     525.907   5.287E-02   5.689E-04    11.29279     0.77269    11.26632     9.79796     5.53173     0.57445    -0.00939
     526.082   5.289E-02   5.689E-04    11.29252     0.77284    11.26604     9.79796     5.53173     0.56888     0.00446
     526.258   5.322E-02   5.722E-04    11.29249     0.77520    11.26585     9.79796     5.53173     0.56511     0.00006
     526.433   5.377E-02   5.779E-04    11.29267     0.77922    11.26575     9.79796     5.53173     0.56320    -0.00937
     526.609   5.448E-02   5.855E-04    11.29303     0.78440    11.26576     9.79796     5.53173     0.56327     0.00507
     526.784   5.507E-02   5.916E-04    11.29350     0.78860    11.26594     9.79796     5.53173     0.56688    -0.00489
     526.960   5.503E-02   5.910E-04    11.29373     0.78837    11.26618     9.79796     5.53173     0.57177     0.01201
     527.135   5.389E-02   5.786E-04    11.29348     0.78016    11.26650     9.79796     5.53173     0.57787     0.00830
     527.311   5.200E-02   5.580E-04    11.29280     0.76631    11.26677     9.79796     5.53173     0.58322     0.02390
     527.487   5.001E-02   5.364E-04    11.29199     0.75146    11.26696     9.79796     5.53173     0.58678    -0.01499
     527.662   4.856E-02   5.207E-04    11.29133     0.74046    11.26703     9.79796     5.53173     0.58814    -0.01736
     527.838   4.777E-02   5.120E-04    11.29103     0.73441    11.26712     9.79796     5.53173     0.58994     0.00447
     528.013   4.759E-02   5.099E-04    11.29090     0.73303    11.26708     9.79796     5.53173     0.58911     0.00520
     528.189   4.788E-02   5.129E-04    11.29081     0.73526    11.26684     9.79796     5.53173     0.58453    -0.01190
     528.364   4.881E-02   5.226E-04    11.29102     0.74234    11.26659     9.79796     5.53173     0.57972    -0.01402
     528.540   5.013E-02   5.366E-04    11.29142     0.75236    11.26633     9.79796     5.53173     0.57457     0.01316
     528.716   5.150E-02   5.511E-04    11.29182     0.76256    11.26604     9.79796     5.53173     0.56897    -0.00351
     528.891   5.273E-02   5.642E-04    11.29250     0.77168    11.26610     9.79796     5.53173     0.57008    -0.00444
     529.067   5.380E-02   5.755E-04    11.29316     0.77949    11.26623     9.79796     5.53173     0.57266    -0.02081
     529.242   5.438E-02   5.814E-04    11.29362     0.78364    11.26640     9.79796     5.53173     0.57604     0.00151
     529.418   5.436E-02   5.811E-04    11.29376     0.78356    11.26654     9.79796     5.53173     0.57881     0.01757
     529.593   5.403E-02   5.774E-04    11.29370     0.78116    11.26665     9.79796     5.53173     0.58086    -0.01545
     529.769   5.404E-02   5.772E-04    11.29374     0.78121    11.26668     9.79796     5.53173     0.58153    -0.00211
     529.944   5.472E-02   5.844E-04    11.29409     0.78616    11.26670     9.79796     5.53173     0.58176     0.00971
     530.120   5.588E-02   5.965E-04    11.29465     0.79442    11.26667     9.79796     5.53173     0.58135    -0.00440
     530.296   5.692E-02   6.076E-04    11.29508     0.80185    11.26658     9.79796     5.53173     0.57955     0.01153
     530.471   5.750E-02   6.135E-04    11.29534     0.80587    11.26655     9.79796     5.53173     0.57894    -0.00423
     530.647   5.762E-02   6.146E-04    11.29547     0.80674    11.26662     9.79796     5.53173     0.58028    -0.00365
     530.822   5.727E-02   6.107E-04    11.29560     0.80430    11.26692     9.79796     5.53173     0.58616     0.00580
     530.998   5.643E-02   6.015E-04    11.29528     0.79837    11.26703     9.79796     5.53173     0.58811    -0.01241
     531.173   5.525E-02   5.887E-04    11.29471     0.78999    11.26705     9.79796     5.53173     0.58864    -0.00700
     531.349   5.414E-02   5.766E-04    11.29413     0.78194    11.26703     9.79796     5.53173     0.58813    -0.00598
     531.524   5.355E-02   5.702E-04    11.29357     0.77769    11.26676     9.79796     5.53173     0.58307     0.00082
     531.700   5.381E-02   5.727E-04    11.29343     0.77952    11.26649     9.79796     5.53173     0.57775    -0.02110
     531.875   5.467E-02   5.817E-04    11.29379     0.78579    11.26642     9.79796     5.53173     0.57642    -0.00920
     532.051   5.578E-02   5.933E-04    11.29429     0.79373    11.26636     9.79796     5.53173     0.57525     0.00917
     532.227   5.676E-02   6.036E-04    11.29477     0.80071    11.26635     9.79796     5.53173     0.57504    -0.01482
     532.402   5.743E-02   6.105E-04    11.29526     0.80539    11.26651     9.79796     5.53173     0.57822     0.01016
     532.578   5.775E-02   6.137E-04    11.29569     0.80765    11.26678     9.79796     5.53173     0.58327     0.00789
     532.753   5.790E-02   6.152E-04    11.29607     0.80874    11.26709     9.79796     5.53173     0.58928     0.00148
     532.929   5.790E-02   6.150E-04    11.29645     0.80877    11.26746     9.79796     5.53173     0.59644     0.00473
     533.104   5.766E-02   6.122E-04    11.29635     0.80705    11.26749     9.79796     5.53173     0.59685    -0.00434
     533.280   5.719E-02   6.070E-04    11.29592     0.80374    11.26729     9.79796     5.53173     0.59316     0.00225
     533.456   5.663E-02   6.009E-04    11.29532     0.79981    11.26697     9.79796     5.53173     0.58697    -0.00541
     533.631   5.622E-02   5.962E-04    11.29476     0.79685    11.26662     9.79796     5.53173     0.58028     0.00464
     533.807   5.604E-02   5.941E-04    11.29437     0.79556    11.26632     9.79796     5.53173     0.57434    -0.00447
     533.982   5.594E-02   5.929E-04    11.29433     0.79486    11.26632     9.79796     5.53173     0.57445    -0.01579
     534.158   5.565E-02   5.896E-04    11.29425     0.79281    11.26639     9.79796     5.53173     0.57578    -0.00184
     534.333   5.489E-02   5.814E-04    11.29397     0.78736    11.26649     9.79796     5.53173     0.57776     0.02350
     534.509   5.373E-02   5.688E-04    11.29344     0.77894    11.26655     9.79796     5.53173     0.57890    -0.02238
     534.684   5.235E-02   5.540E-04    11.29273     0.76888    11.26653     9.79796     5.53173     0.57850     0.01547
     534.860   5.128E-02   5.425E-04    11.29212     0.76096    11.26645     9.79796     5.53173     0.57695     0.00648
     535.036   5.107E-02   5.401E-04    11.29189     0.75940    11.26632     9.79796     5.53173     0.57445     0.00596
     535.211   5.207E-02   5.505E-04    11.29232     0.76679    11.26625     9.79796     5.53173     0.57313    -0.00076
     535.387   5.360E-02   5.666E-04    11.29308     0.77805    11.26625     9.79796     5.53173     0.57298    -0.01668
     535.562   5.500E-02   5.812E-04    11.29392     0.78815    11.26638     9.79796     5.53173     0.57566     0.00017
     535.738   5.584E-02   5.899E-04    11.29445     0.79415    11.26650     9.79796     5.53173     0.57791    -0.00320
     535.913   5.603E-02   5.917E-04    11.29464     0.79549    11.26659     9.79796     5.53173     0.57965     0.01895
     536.089   5.558E-02   5.867E-04    11.29438     0.79228    11.26656     9.79796     5.53173     0.57915     0.00463
     536.264   5.492E-02   5.795E-04    11.29399     0.78755    11.26650     9.79796     5.53173     0.57785    -0.00563
     536.440   5.453E-02   5.753E-04    11.29370     0.78479    11.26640     9.79796     5.53173     0.57593     0.00183
     536.615   5.462E-02   5.760E-04    11.29370     0.78538    11.26636     9.79796     5.53173     0.57522    -0.00257
     536.791   5.492E-02   5.790E-04    11.29382     0.78755    11.26632     9.79796     5.53173     0.57448    -0.02023
     536.967   5.507E-02   5.804E-04    11.29385     0.78866    11.26628     9.79796     5.53173     0.57373    -0.00226
     537.142   5.505E-02   5.800E-04    11.29399     0.78847    11.26643     9.79796     5.53173     0.57666     0.01761
     537.318   5.511E-02   5.805E-04    11.29407     0.78895    11.26648     9.79796     5.53173     0.57755     0.00752
     537.493   5.554E-02   5.848E-04    11.29422     0.79201    11.26642     9.79796     5.53173     0.57634     0.00186
     537.669   5.635E-02   5.931E-04    11.29452     0.79777    11.26631     9.79796     5.53173     0.57423     0.00350
     537.844   5.734E-02   6.034E-04    11.29483     0.80476    11.26613     9.79796     5.53173     0.57065     0.00310
     538.020   5.822E-02   6.124E-04    11.29501     0.81090    11.26587     9.79796     5.53173     0.56548    -0.00537
     538.195   5.875E-02   6.179E-04    11.29522     0.81463    11.26581     9.79796     5.53173     0.56429     0.02357
     538.371   5.887E-02   6.189E-04    11.29528     0.81546    11.26581     9.79796     5.53173     0.56428    -0.01491
     538.547   5.858E-02   6.157E-04    11.29519     0.81346    11.26586     9.79796     5.53173     0.56537    -0.01002
     538.722   5.793E-02   6.086E-04    11.29509     0.80891    11.26608     9.79796     5.53173     0.56976    -0.00538
     538.898   5.713E-02   6.000E-04    11.29479     0.80332    11.26619     9.79796     5.53173     0.57183     0.00116
     539.073   5.636E-02   5.917E-04    11.29435     0.79785    11.26613     9.79796     5.53173     0.57068     0.00446
     539.249   5.568E-02   5.844E-04    11.29398     0.79302    11.26611     9.79796     5.53173     0.57020     0.00288
     539.424   5.503E-02   5.773E-04    11.29359     0.78831    11.26604     9.79796     5.53173     0.56892    -0.01185
     539.600   5.430E-02   5.694E-04    11.29310     0.78307    11.26592     9.79796     5.53173     0.56646    -0.01320
     539.776   5.368E-02   5.628E-04    11.29283     0.77859    11.26596     9.79796     5.53173     0.56735     0.00644
     539.951   5.364E-02   5.622E-04    11.29287     0.77833    11.26602     9.79796     5.53173     0.56851    -0.03309
     540.127   5.441E-02   5.700E-04    11.29330     0.78385    11.26607     9.79796     5.53173     0.56945     0.00638
     540.302   5.559E-02   5.823E-04    11.29388     0.79237    11.26605     9.79796     5.53173     0.56902     0.01373
     540.478   5.657E-02   5.923E-04    11.29441     0.79930    11.26609     9.79796     5.53173     0.56984     0.02997
     540.653   5.704E-02   5.971E-04    11.29480     0.80267    11.26625     9.79796     5.53173     0.57297    -0.00804
     540.829   5.705E-02   5.971E-04    11.29475     0.80275    11.26619     9.79796     5.53173     0.57186     0.00006
     541.004   5.682E-02   5.944E-04    11.29462     0.80111    11.26618     9.79796     5.53173     0.57158    -0.01425
     541.180   5.657E-02   5.916E-04    11.29466     0.79936    11.26634     9.79796     5.53173     0.57481    -0.01006
     541.355   5.648E-02   5.904E-04    11.29448     0.79867    11.26621     9.79796     5.53173     0.57219    -0.00148
     541.531   5.649E-02   5.903E-04    11.29438     0.79873    11.26610     9.79796     5.53173     0.57019     0.00319
     541.707   5.640E-02   5.893E-04    11.29447     0.79814    11.26623     9.79796     5.53173     0.57269    -0.00528
     541.882   5.603E-02   5.851E-04    11.29412     0.79546    11.26607     9.79796     5.53173     0.56947     0.00665
     542.058   5.543E-02   5.787E-04    11.29364     0.79120    11.26589     9.79796     5.53173     0.56589     0.01021
     542.233   5.481E-02   5.720E-04    11.29328     0.78678    11.26584     9.79796     5.53173     0.56502     0.00058
     542.409   5.432E-02   5.667E-04    11.29300     0.78322    11.26581     9.79796     5.53173     0.56430     0.01743
     542.584   5.392E-02   5.623E-04    11.29280     0.78030    11.26581     9.79796     5.53173     0.56429     0.01041
     542.760   5.358E-02   5.586E-04    11.29273     0.77788    11.26591     9.79796     5.53173     0.56633    -0.00169
     542.935   5.344E-02   5.570E-04    11.29284     0.77685    11.26609     9.79796     5.53173     0.56986     0.00774
     543.111   5.363E-02   5.588E-04    11.29313     0.77826    11.26628     9.79796     5.53173     0.57364     0.00566
     543.287   5.395E-02   5.619E-04    11.29345     0.78054    11.26644     9.79796     5.53173     0.57683     0.01861
     543.462   5.396E-02   5.619E-04    11.29349     0.78064    11.26648     9.79796     5.53173     0.57753    -0.00234
     543.638   5.336E-02   5.554E-04    11.29319     0.77627    11.26648     9.79796     5.53173     0.57755     0.01481
     543.813   5.253E-02   5.466E-04    11.29280     0.77021    11.26650     9.79796     5.53173     0.57803    -0.00685
     543.989   5.200E-02   5.409E-04    11.29233     0.76631    11.26630     9.79796     5.53173     0.57403    -0.01139
     544.164   5.209E-02   5.416E-04    11.29216     0.76695    11.26609     9.79796     5.53173     0.56984     0.00717
     544.340   5.262E-02   5.470E-04    11.29253     0.77083    11.26619     9.79796     5.53173     0.57179     0.00128
     544.516   5.344E-02   5.554E-04    11.29290     0.77685    11.26615     9.79796     5.53173     0.57113     0.02847
     544.691   5.440E-02   5.652E-04    11.29336     0.78380    11.26612     9.79796     5.53173     0.57056    -0.00373
     544.867   5.536E-02   5.749E-04    11.29407     0.79069    11.26636     9.79796     5.53173     0.57514    -0.00195
     545.042   5.613E-02   5.828E-04    11.29453     0.79620    11.26643     9.79796     5.53173     0.57651     0.00916
     545.218   5.663E-02   5.879E-04    11.29475     0.79977    11.26640     9.79796     5.53173     0.57604     0.00353
     545.393   5.678E-02   5.892E-04    11.29480     0.80084    11.26637     9.79796     5.53173     0.57543     0.00261
     545.569   5.663E-02   5.875E-04    11.29468     0.79978    11.26633     9.79796     5.53173     0.57463     0.02265
     545.744   5.637E-02   5.846E-04    11.29452     0.79792    11.26630     9.79796     5.53173     0.57403    -0.00484
     545.920   5.619E-02   5.825E-04    11.29450     0.79664    11.26637     9.79796     5.53173     0.57549     0.00590
     546.095   5.616E-02   5.821E-04    11.29459     0.79646    11.26647     9.79796     5.53173     0.57739    -0.02374
     546.271   5.618E-02   5.820E-04    11.29470     0.79655    11.26658     9.79796     5.53173     0.57944    -0.00439
     546.447   5.593E-02   5.793E-04    11.29464     0.79481    11.26663     9.79796     5.53173     0.58057    -0.00778
     546.622   5.538E-02   5.734E-04    11.29431     0.79089    11.26659     9.79796     5.53173     0.57963     0.00959
     546.798   5.474E-02   5.666E-04    11.29385     0.78629    11.26645     9.79796     5.53173     0.57688    -0.03243
     546.973   5.429E-02   5.617E-04    11.29334     0.78305    11.26616     9.79796     5.53173     0.57127     0.01789
     547.149   5.413E-02   5.599E-04    11.29299     0.78187    11.26589     9.79796     5.53173     0.56594    -0.00191
     547.324   5.443E-02   5.627E-04    11.29291     0.78401    11.26566     9.79796     5.53173     0.56128    -0.00922
     547.500   5.524E-02   5.709E-04    11.29332     0.78982    11.26567     9.79796     5.53173     0.56157     0.00832
     547.675   5.642E-02   5.830E-04    11.29401     0.79823    11.26577     9.79796     5.53173     0.56352     0.01013
     547.851   5.751E-02   5.941E-04    11.29472     0.80594    11.26593     9.79796     5.53173     0.56663     0.00337
     548.027   5.808E-02   5.998E-04    11.29500     0.80991    11.26593     9.79796     5.53173     0.56667     0.01404
     548.202   5.785E-02   5.973E-04    11.29495     0.80837    11.26599     9.79796     5.53173     0.56785    -0.00756
     548.378   5.695E-02   5.878E-04    11.29461     0.80203    11.26610     9.79796     5.53173     0.57005     0.02163
     548.553   5.588E-02   5.765E-04    11.29417     0.79440    11.26620     9.79796     5.53173     0.57206     0.00105
     548.729   5.528E-02   5.702E-04    11.29409     0.79017    11.26641     9.79796     5.53173     0.57627     0.01517
     548.904   5.538E-02   5.710E-04    11.29446     0.79088    11.26674     9.79796     5.53173     0.58258     0.00684
     549.080   5.579E-02   5.751E-04    11.29461     0.79383    11.26668     9.79796     5.53173     0.58147     0.00848
     549.255   5.586E-02   5.756E-04    11.29468     0.79431    11.26671     9.79796     5.53173     0.58203     0.00154
     549.431   5.546E-02   5.713E-04    11.29461     0.79146    11.26684     9.79796     5.53173     0.58460     0.00298
